Tropical Knockout,Gold Moon,75.4%,0%,$20,1 gram,Nectar - Barbur
Berry Boom,Gold Moon,76.3%,0%,$20,1 gram,Nectar - Barbur
Blue Dream Dabbable,Nectar,58.5%,0%,$20,1 gram,Nectar - Barbur
Cinex Diamonds,Oregon Genetics,71.7%,0.13%,$25,½ gram,Nectar - Barbur
Critical Mass,NW KIND,67.07%,0%,$25,½ gram,Nectar - Barbur
Ghost Train Haze Dabbable,Nectar,61.2%,1.11%,$40,1 gram,Nectar - Barbur
South Fork Kush #56 Sugar Sauce,White Label Extracts,71.05%,0%,$25,½ gram,Nectar - Barbur
Cookie Dough,Oregon Genetics,65.3%,0.13%,$50,1 gram,Nectar - Barbur
Fire OG,Oregon Grown Extractions,69.6%,0.3%,$20,1 gram,Nectar - Barbur
Orange Fire Sugar Sauce,White Label Extracts,75.74%,0%,$24,1 gram,Nectar - Barbur
Rascal OG,Gilt,64.7%,0.8%,$25,½ gram,Nectar - Barbur
Zkittle ,NW KIND,70%,0%,$25,1 gram,Nectar - Barbur
Cinex LR,Oregon Genetics,67.48%,0.13%,$25,1 gram,Nectar - Barbur
Blueberry Cookies LR,Applegate Valley Organics,59.3%,10%,$20,1 gram,Nectar - Barbur
Fire Alien Urkle,Gilt,63.9%,0%,$20,1 gram,Nectar - Barbur
Katsu Bubba Kush Shatter,White Label Extracts,80.3%,0%,$24,1 gram,Nectar - Barbur
***PLEASE INCLUDE AN ADDITIONAL 20% TAX FO...,Unknown Brand,0%,0%,$40,½ g,Zion
Huckleberry Sauce 0.5g Pax Pod (Oregrown),Unknown Brand,43.5%,0.3%,$40,½ g,Zion
Fire OG Sauce 0.5g Pax Pod (Oregrown),Unknown Brand,50.2%,0%,$40,½ g,Zion
Deadhead OG Sauce 0.5g Pax Pod (Oregrown),Unknown Brand,61.3%,0%,$40,½ g,Zion
Golden Cooks Sauce 0.5g Pax Pod (Oregrown),Unknown Brand,63%,3.2%,$40,½ g,Zion
Galactic Cooks 0.5g Pax Pod (Oregrown),Unknown Brand,65.5%,0%,$42,½ g,Zion
Lemon Berry Sauce 0.5g Pax Pod (Oregrown),Unknown Brand,64.4%,3.3%,$40,½ g,Zion
Deschutes River Durban 0.5g Pax Pod (Oregr...,Unknown Brand,70.7%,2.4%,$40,½ g,Zion
Mimosa Sauce 0.5g Pax Pod (Oregrown),Unknown Brand,62.7%,0%,$40,½ g,Zion
Pineapple Pomegranate Sauce 0.5g Pax Pod (...,Unknown Brand,69.4%,0%,$40,1 g,Zion
The Grape Gatsby Sauce 0.5g Pax Pod (Oregr...,Unknown Brand,64%,0%,$40,½ g,Zion
Oregon Diesel Sauce 0.5g Pax Pod (Oregrown),Unknown Brand,67.9%,0%,$40,½ g,Zion
Golden Alien Sauce 0.5g Pax Pod (Oregrown),Unknown Brand,67.5%,0%,$40,½ g,Zion
Alien Rift Sauce 0.5g Pax Pod (Oregrown),Unknown Brand,59.7%,0%,$40,½ g,Zion
Deschutes River Durban + CBD Sauce 0.5g Pa...,Unknown Brand,34.6%,30.4%,$40,½ g,Zion
